160325-125135,21689,39.846000,17261,6.843600
160325-125138,21697,39.846000,17925,7.104600
160325-125141,21705,39.846000,18588,7.369900
160325-125143,21712,39.846000,19252,7.632900
160325-125146,21721,39.846000,19916,7.896400
160325-125149,21729,39.846000,20580,8.159300
160325-125151,21736,39.846000,21243,8.422400
160325-125154,21744,39.846000,21908,8.685600
160325-125156,21752,39.846000,22572,8.948400
160325-125159,21763,39.846000,23236,9.211300
160325-125202,21766,39.846000,23901,9.474100
160325-125205,21782,39.846000,25225,9.999900
160325-125208,21790,39.847000,25888,10.262600
160325-125211,21798,39.847000,26553,10.525300
160325-125213,21814,39.847000,27878,11.051000
160325-125216,21821,39.847000,28542,11.311900
160325-125218,21828,39.847000,29209,11.575600
160325-125221,21834,39.847000,29874,11.837800
160325-125224,21841,39.847000,30540,12.099800
160325-125227,21851,39.847000,31207,12.361700
160325-125230,21852,39.847000,31873,12.623400
160325-125240,21866,39.847000,32490,12.862700
